Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
HONDURAS,HND,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,18.2087992335676,13.0139271529579,15.2231337543353,12.5053782423161,16.2877790911964,12.7555939104095,7.76063236320159,6.54729031045099,8.69922613673761,8.25800041908194,2.7663435712028,7.5749996558985,2.012267807507,..,..,..,..,..
GUYANA,GUY,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
JAMAICA,JAM,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NICARAGUA,NIC,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,30.2345365813899,26.6085222918788,30.7077107185024,28.8961637138088,35.012046083868,39.3078712679333,29.2795142039475,30.9583295813422,37.1234570707981,37.1399035148174,35.3053509902229,37.7853112805697,35.6799123717317,36.0189169985701,36.6273053521234,34.0058409424852,33.6263226619425,33.7068844259777,32.348774970879,34.3768655032991,31.8067237204994,31.8797582731333,31.998843623261,28.9339737055673,..
PANAMA,PAN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.5493112366495,36.1528009153923,35.3576514864337,27.3941986325194,26.0482191298479,..,..
PARAGUAY,PRY,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,24.9693070765604,23.9730711690532,24.7714535154213,23.123883647719,23.1819562124483,22.4049117486137,22.0856820200827,22.6283424590178,26.2586762281879,23.9358062680444,26.9604808814787,28.9129008540861,23.9387827882497,29.255495661571,28.399155111192,..
PERU,PER,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,33.6261445371464,35.9316755715706,33.3456895110588,37.5008673184496,37.0147809017643,37.9042768511901,41.7439856214735,41.9685789401344,43.9120740317415,44.9628590534024,46.2488288026539,48.9356253057075,48.7567174437418,45.9566733904818,46.6049215300797,48.5128178816905,49.9875902940318,47.9526310855082,45.6570425230947,43.1723387265507,44.0472931179891,45.5301334968856,46.1101180714382,46.6883333646626,..
SURINAME,SUR,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TRINIDAD AND TOBAGO,TTO,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,29.0410267857439,29.501155788933,29.6244253841899,34.8674474652235,36.9855746042882,36.1747899159664,40.2293098363732,37.516835016835,44.9857141429984,41.8532952082276,..,40.7735399213043,42.9103038111605,44.5718487852707,41.692554695717,38.2425169946969,38.2425169946969,33.4395714711155,..,..
URUGUAY,URY,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,64.3422615120728,65.4331144953574,61.3571789139684,57.4263345987513,65.7301455244746,54.7796264642824,52.7651921857128,47.3917749433706,46.1746616572357,47.3181092040376,46.429318169897,47.5779265479988,50.1311375807672,47.0103047875392,46.4810703583046,46.8342891016955,47.5734137855896,47.1960336890845,47.0848503944086,48.5580967076879,42.0552141552699,46.3880344146734,46.4892121677469,46.4363182689386,..
Argentina,ARG,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,66.4858381993071,64.5901229233236,64.2134273864804,62.020719494778,60.6705309606875,58.8741488329511,43.4328506232634,44.554503559377,50.0972327851389,..,..,..,..,..,..,..,..,..,66.1069807563342,65.4836002961466,63.7680407913133,64.4033234676676,66.2075976341882,64.1347990408042,..
Australia,AUS,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,66.1499861465998,67.204207762023,70.7642359232263,65.6256768730925,66.0240025622829,67.995247995248,68.674420820857,69.2597221414869,70.3574140362295,70.4336721749573,69.6449808749317,68.9044224253852,69.2868295947246,71.2844567050359,69.2480169040448,68.7076471688853,67.3170433034507,67.1383722888447,67.7785530078796,67.6235061364865,67.5405087030286,67.5691206094021,67.2447623660321,66.9374046041144,..
Brazil,BRA,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.8471051465018,57.0972785358022,59.2062845737574,59.148672452077,58.85549421409,52.1049548835529,56.9830001148805,59.405897703819,58.9538192502572,61.6907404269933,..
Canada,CAN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,55.2175338701199,55.6586411466678,55.3181061196956,56.3846829880728,55.1257355844706,57.4530478067185,58.3780657858532,60.5734307756206,61.2912737127371,64.1563495289702,63.4221761788158,64.5143209461353,65.0174156946142,66.2521686885257,67.3902377657567,66.1346806662983,67.2332940724379,67.9043191167918,68.951785430496,70.4789951850161,71.4338110822706,71.0974438436271,70.7248003673751,71.1916209447705,..
Chile,CHL,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,54.923866824285,54.1900030194066,54.3556699706597,54.057943526863,53.2158031050388,54.0987780040733,54.2978395061728,54.6955865605161,55.1950584423099,48.4565101837624,45.7254347492124,44.464957469941,45.1937140253707,45.4970899751177,45.6331506541954,44.3383254522974,44.5926040128472,33.9211733862583,33.982610698219,33.9798731019075,..
China,CHN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,29.4514250672315,29.1313478053629,30.4690468060384,..,..,41.1877617858872,..,..,..,..,40.3590489459105,41.355783183198,41.8064964873265,34.8807849977294,51.2294352574364,54.7121781343506,58.8273764991113,59.9422974705013,48.5539122521125,55.3285861021509,58.0777071372546,60.3926593915184,..
Costa Rica,CRI,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,24.4895340738297,27.9267224213461,28.5756684564121,27.5731172651091,27.3184702755191,28.5032113467585,26.573372237819,24.0332001229634,25.5057875098728,27.6386690588438,25.5008729899307,28.1622973085255,24.9378659587681,22.4512351924002,21.3137018044008,22.4873493372008,22.2382729595559,22.1122856563046,21.7290865460294,23.5460678123712,21.0665620502702,23.8551786501239,22.3616301050512,25.0422520260452,..
India,IND,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,32.8309572301426,32.3202142090844,27.3883279941726,..,..,..,42.6205459116605,26.9435804776453,25.4961084854304,28.0305477031161,31.250618949766,36.8882211200766,32.2919912417365,34.2519993288966,36.9879690178401,37.2768350870541,38.8285166892674,40.5235646912167,37.7347636942609,40.6923173303519,42.6655767997046,44.0898826213491,44.6483778561487,..,..
Indonesia,IDN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,44.8875681748174,..,49.0302248849865,53.8241534272206,..,..,55.0391794120853,56.0997021980626,63.3154165621202,..,..,..,68.4422571804741,60.4113301807731,63.0167216152064,66.1226236306929,67.1079236699103,65.5246913580247,63.4740824492243,54.6485298488086,51.1959649304757,50.3597231127312,48.6920708837787,49.5998198482074,..
Japan,JPN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kazakhstan,KAZ,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,58.3742820676452,50.012823178762,49.392964542975,55.2868093242344,46.5266013975551,50.8152979495181,51.4457017082414,54.3767651895417,..,..,..,..,..,66.5673400589566,64.7664084937956,62.8487779843735,67.9531344420356,67.8473864755975,64.3270262369599,59.2689759269705,47.7421681096856,67.2584598841325,67.0930063958417,..
Mexico,MEX,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,55.3480221202606,61.5249141266431,61.4360849882316,61.085052856831,58.2140226768294,62.4050787431245,63.4793637103066,64.4516709521242,64.2556083801224,63.5880835497917,64.0711382405518,65.409979090411,..
New Zealand,NZL,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,..,..,..,..,..,33.3366165726429,35.6798777410062,36.8214890802935,36.4223299772819,35.1129334532265,34.1286307053942,34.2064741308514,34.9149087614857,47.1748125756199,47.2628647411479,40.6911331651198,46.7801492313401,46.7099199700089,46.3213958718278,46.4844967789747,46.7441755039805,46.5340620585979,46.6723821373837,46.8183783180965,..
